Year,Month,MS,,,,
1989,12,206.2,,1989,12,139.14
1990,1,201.2,,1990,1,141.632
1990,2,202.4,,1990,2,142.87
1990,3,200.9,,1990,3,141.125
1990,4,198.1,,1990,4,137.764
1990,5,195.1,,1990,5,137.464
1990,6,192,,1990,6,138.178
1990,7,190.1,,1990,7,142.586
1990,8,191.6,,1990,8,141.337
1990,9,194.6,,1990,9,144.38
1990,10,195.2,,1990,10,146.544
1990,11,195.2,,1990,11,148.464
1990,12,197.8,,1990,12,148.453
1991,1,202.8,,1991,1,151.696
1991,2,204.4,,1991,2,152.016
1991,3,203.9,,1991,3,141.691
1991,4,203.8,,1991,4,143.149
1991,5,202.9,,1991,5,144.637
1991,6,202.8,,1991,6,128.509
1991,7,203.5,,1991,7,129.656
1991,8,203.3,,1991,8,137.777
1991,9,200.9,,1991,9,144.152
1991,10,196.7,,1991,10,145.619
1991,11,191.4,,1991,11,145.831
1991,12,183.1,,1991,12,147.579
1992,1,172.6,,1992,1,147.783
1992,2,161.1,,1992,2,146.906
1992,3,151.8,,1992,3,150.546
1992,4,146,,1992,4,154.498
1992,5,142.1,,1992,5,152.585
1992,6,137.1,,1992,6,156.655
1992,7,128.5,,1992,7,159.787
1992,8,119.3,,1992,8,159.525
1992,9,113,,1992,9,158.543
1992,10,109,,1992,10,160.625
1992,11,106.3,,1992,11,159.639
1992,12,104.5,,1992,12,160.982
1993,1,101.9,,1993,1,160.146
1993,2,99.3,,1993,2,160.545
1993,3,95.4,,1993,3,159.601
1993,4,90.2,,1993,4,162.121
1993,5,84.2,,1993,5,163.68
1993,6,78.6,,1993,6,165.008
1993,7,76.5,,1993,7,166.156
1993,8,73.6,,1993,8,166.144
1993,9,68.3,,1993,9,167.206
1993,10,63.2,,1993,10,167.071
1993,11,58.4,,1993,11,166.775
1993,12,55.1,,1993,12,166.372
1994,1,52.6,,1994,1,167.552
1994,2,50.2,,1994,2,164.726
1994,3,49.4,,1994,3,165.04
1994,4,49.6,,1994,4,164.911
1994,5,48.7,,1994,5,166.285
1994,6,46.4,,1994,6,166.637
1994,7,42.7,,1994,7,168.697
1994,8,40.1,,1994,8,169.809
1994,9,39.7,,1994,9,170.485
1994,10,39.4,,1994,10,169.97
1994,11,38.7,,1994,11,169.489
1994,12,37.6,,1994,12,168.98
1995,1,35.6,,1995,1,0
1995,2,33.7,,1995,2,0
1995,3,32,,1995,3,0
1995,4,29.4,,1995,4,0
1995,5,27.3,,1995,5,0
1995,6,25.9,,1995,6,0
1995,7,24.4,,1995,7,0
1995,8,22,,1995,8,0
1995,9,19,,1995,9,0
1995,10,17,,1995,10,0
1995,11,15.9,,1995,11,0
1995,12,15.1,,1995,12,0
1996,1,14.5,,1996,1,0
1996,2,14.2,,1996,2,0
1996,3,13.7,,1996,3,0
1996,4,12,,1996,4,0
1996,5,11.2,,1996,5,0
1996,6,11.6,,1996,6,0
1996,7,11.3,,1996,7,0
1996,8,11.2,,1996,8,0
1996,9,11.3,,1996,9,0
1996,10,12,,1996,10,0
1996,11,13.4,,1996,11,0
1996,12,14.3,,1996,12,0
1997,1,14.5,,1997,1,0
1997,2,15.2,,1997,2,0
1997,3,18.3,,1997,3,0
1997,4,22,,1997,4,171.827
1997,5,24.4,,1997,5,171.965
1997,6,27.2,,1997,6,171.701
1997,7,30.4,,1997,7,172.835
1997,8,33.6,,1997,8,173.669
1997,9,38.2,,1997,9,172.354
1997,10,43.1,,1997,10,171.798
1997,11,47.1,,1997,11,169.275
1997,12,52,,1997,12,0
1998,1,58.4,,1998,1,170.852
1998,2,65.4,,1998,2,169.357
1998,3,72,,1998,3,170.873
1998,4,76.9,,1998,4,166.485
1998,5,80.8,,1998,5,162.737
1998,6,85.4,,1998,6,164.224
1998,7,89.8,,1998,7,165.957
1998,8,93.5,,1998,8,164.231
1998,9,96.4,,1998,9,166.388
1998,10,98.2,,1998,10,167.39
1998,11,102.3,,1998,11,165.712
1998,12,110.4,,1998,12,163.547
1999,1,118.4,,1999,1,160.621
1999,2,122.5,,1999,2,159.087
1999,3,122.3,,1999,3,160.973
1999,4,125,,1999,4,162.607
1999,5,132.6,,1999,5,161.887
1999,6,136.3,,1999,6,164.205
1999,7,138.1,,1999,7,165.092
1999,8,142.9,,1999,8,160.952
1999,9,150.5,,1999,9,157.327
1999,10,159.3,,1999,10,155.529
1999,11,164.1,,1999,11,154.611
1999,12,164,,1999,12,153.549
2000,1,166.1,,2000,1,154.173
2000,2,170.6,,2000,2,152.571
2000,3,174.3,,2000,3,149.643
2000,4,175.2,,2000,4,150.177
2000,5,172.9,,2000,5,146.437
2000,6,172.7,,2000,6,144.524
2000,7,174.2,,2000,7,142.265
2000,8,172.8,,2000,8,143.625
2000,9,168.8,,2000,9,145.095
2000,10,165.3,,2000,10,149.033
2000,11,163.1,,2000,11,144.168
2000,12,162.7,,2000,12,146.81
2001,1,158.3,,2001,1,148.151
2001,2,152.5,,2001,2,152
2001,3,155.1,,2001,3,153.76
2001,4,160.7,,2001,4,145.665
2001,5,163.7,,2001,5,149.927
2001,6,167.4,,2001,6,150.294
2001,7,172,,2001,7,151.345
2001,8,175.8,,2001,8,149.168
2001,9,177.1,,2001,9,149.328
2001,10,177.3,,2001,10,146.248
2001,11,180.3,,2001,11,149.788
2001,12,179.1,,2001,12,151.059
2002,1,177.6,,2002,1,146.946
2002,2,179.7,,2002,2,151.386
2002,3,178.2,,2002,3,149.805
2002,4,174.4,,2002,4,148.518
2002,5,171.3,,2002,5,148.977
2002,6,166.9,,2002,6,150.151
2002,7,161.5,,2002,7,148.246
2002,8,155.4,,2002,8,144.937
2002,9,149.5,,2002,9,147.73
2002,10,143.9,,2002,10,147.541
2002,11,136,,2002,11,146.013
2002,12,131.4,,2002,12,146.974
2003,1,129.6,,2003,1,148.511
2003,2,125.7,,2003,2,147.838
2003,3,118.7,,2003,3,148.615
2003,4,111.9,,2003,4,147.642
2003,5,107,,2003,5,146.078
2003,6,101.7,,2003,6,143.45
2003,7,96,,2003,7,146.756
2003,8,92.9,,2003,8,148.537
2003,9,91.8,,2003,9,150.254
2003,10,89.1,,2003,10,148.018
2003,11,86.9,,2003,11,138.426
2003,12,84.1,,2003,12,147.458
2004,1,80.1,,2004,1,146.987
2004,2,76.4,,2004,2,151.982
2004,3,73.2,,2004,3,155.745
2004,4,71,,2004,4,157.092
2004,5,69.5,,2004,5,159.129
2004,6,67.1,,2004,6,159.916
2004,7,64.8,,2004,7,157.119
2004,8,63,,2004,8,158.925
2004,9,60.2,,2004,9,159.831
2004,10,57.9,,2004,10,163.889
2004,11,56.6,,2004,11,158.613
2004,12,55.7,,2004,12,160.103
2005,1,54.5,,2005,1,152.693
2005,2,53.2,,2005,2,157.77
2005,3,52.3,,2005,3,158.861
2005,4,49.3,,2005,4,160.661
2005,5,45,,2005,5,156.905
2005,6,44.5,,2005,6,160.436
2005,7,44.6,,2005,7,160.838
2005,8,41.9,,2005,8,158.884
2005,9,39.4,,2005,9,154.579
2005,10,38.9,,2005,10,162.016
2005,11,38.4,,2005,11,163.98
2005,12,36,,2005,12,162.634
2006,1,33,,2006,1,163.656
2006,2,29.7,,2006,2,166.899
2006,3,27.4,,2006,3,168.202
2006,4,27,,2006,4,168.979
2006,5,27.4,,2006,5,170.654
2006,6,26.2,,2006,6,171.605
2006,7,25,,2006,7,169.637
2006,8,25.9,,2006,8,168.462
2006,9,26,,2006,9,169.604
2006,10,23.7,,2006,10,171.614
2006,11,21.1,,2006,11,170.46
2006,12,20.2,,2006,12,166.782
2007,1,19.8,,2007,1,169.788
2007,2,19,,2007,2,170.109
2007,3,17.7,,2007,3,170.977
2007,4,16.4,,2007,4,172.456
2007,5,14.4,,2007,5,172.895
2007,6,12.8,,2007,6,172.843
2007,7,11.6,,2007,7,173.153
2007,8,9.9,,2007,8,173.15
2007,9,9.6,,2007,9,173.743
2007,10,9.9,,2007,10,173.852
2007,11,9.2,,2007,11,172.175
2007,12,7.9,,2007,12,173.867
2008,1,6.6,,2008,1,172.309
2008,2,5.6,,2008,2,172.171
2008,3,5.1,,2008,3,171.414
2008,4,5.1,,2008,4,171.802
2008,5,5.4,,2008,5,171.876
2008,6,4.8,,2008,6,172.688
2008,7,4,,2008,7,174.067
2008,8,3.8,,2008,8,175.204
2008,9,3.2,,2008,9,175.75
2008,10,2.4,,2008,10,175.501
2008,11,2.3,,2008,11,176.067
2008,12,2.2,,2008,12,176.572
2009,1,2.5,,2009,1,176.427
2009,2,2.7,,2009,2,177.526
2009,3,2.9,,2009,3,178.334
2009,4,3.3,,2009,4,178.875
2009,5,3.5,,2009,5,178.06
2009,6,4.1,,2009,6,179.084
2009,7,5.5,,2009,7,179.643
2009,8,7.4,,2009,8,179.286
2009,9,9.5,,2009,9,179.626
2009,10,10.9,,2009,10,179.291
2009,11,11.7,,2009,11,178.9
2009,12,12.7,,2009,12,179.589
2010,1,14,,2010,1,177.589
2010,2,16.1,,2010,2,175.06
2010,3,18.5,,2010,3,174.501
2010,4,20.8,,2010,4,172.034
2010,5,23.1,,2010,5,173.171
2010,6,24.6,,2010,6,173.933
2010,7,25.2,,2010,7,175.235
2010,8,26.4,,2010,8,173.432
2010,9,29.5,,2010,9,172.949
2010,10,34.5,,2010,10,173.446
2010,11,39.1,,2010,11,172.659
2010,12,42.5,,2010,12,170.73
2011,1,45.7,,2011,1,171.968
2011,2,48.8,,2011,2,172.103
2011,3,53.8,,2011,3,169.474
2011,4,61.1,,2011,4,165.895
2011,5,69.3,,2011,5,168.851
2011,6,77.2,,2011,6,164.317
2011,7,83.6,,2011,7,165.724
2011,8,86.3,,2011,8,166.701
2011,9,86.6,,2011,9,166.145
2011,10,87.4,,2011,10,165.031
2011,11,89.4,,2011,11,166.39
2011,12,92.5,,2011,12,168.791
2012,1,95.5,,2012,1,167.749
2012,2,98.1,,2012,2,164.395
2012,3,98.3,,2012,3,159.704
2012,4,95.1,,2012,4,166.224
2012,5,90.9,,2012,5,166.701
2012,6,86.6,,2012,6,163.757
2012,7,84.5,,2012,7,160.257
2012,8,85.1,,2012,8,160.775
2012,9,85.3,,2012,9,163.226
2012,10,85.8,,2012,10,163.058
2012,11,87.7,,2012,11,162.623
2012,12,88.1,,2012,12,163.703
2013,1,86.8,,2013,1,164.79
2013,2,86.1,,2013,2,165.23
2013,3,84.4,,2013,3,162.968
2013,4,84.3,,2013,4,162.242
2013,5,87,,2013,5,157.886
2013,6,90.9,,2013,6,156.205
2013,7,94.6,,2013,7,159.997
2013,8,99,,2013,8,160.078
2013,9,104.6,,2013,9,159.953
2013,10,107,,2013,10,161.89
2013,11,106.9,,2013,11,160.797
2013,12,107.6,,2013,12,159.046
2014,1,109.3,,2014,1,158.951
2014,2,110.5,,2014,2,156.867
2014,3,114.3,,2014,3,157.431
2014,4,116.4,,2014,4,157.867
2014,5,115,,2014,5,159.689
2014,6,114.1,,2014,6,158.122
2014,7,112.6,,2014,7,0
2014,8,108.3,,2014,8,161.446
2014,9,101.9,,2014,9,159.253
2014,10,97.3,,2014,10,159.58
2014,11,94.7,,2014,11,158.268
2014,12,92.2,,2014,12,154.756
2015,1,89.3,,2015,1,157.01
2015,2,86.1,,2015,2,158.431
2015,3,82.1,,2015,3,156.18
2015,4,78.9,,2015,4,156.772
2015,5,76.1,,2015,5,160.173
2015,6,72.1,,2015,6,159.091
2015,7,68.3,,2015,7,161.593
2015,8,66.4,,2015,8,162.457
2015,9,65.9,,2015,9,161.11
2015,10,64.3,,2015,10,161.026
2015,11,61.2,,2015,11,161.046
2015,12,57.8,,2015,12,162.576
2016,1,54.4,,2016,1,165.248
2016,2,52.5,,2016,2,166.75
2016,3,50.4,,2016,3,166.761
2016,4,47.8,,2016,4,166.379
2016,5,44.8,,2016,5,167.373
2016,6,41.5,,2016,6,168.849
2016,7,38.5,,2016,7,168.891
2016,8,36,,2016,8,169.496
2016,9,33.2,,2016,9,169.808
2016,10,31.5,,2016,10,170.988
2016,11,29.9,,2016,11,170.748
2016,12,28.5,,2016,12,171.577
2017,1,27.8,,2017,1,172.131
2017,2,26.5,,2017,2,171.723
2017,3,25.7,,2017,3,172.014
2017,4,24.8,,2017,4,170.318
2017,5,23.3,,2017,5,170.942
2017,6,22.2,,2017,6,172.713
2017,7,21,,2017,7,171.645
2017,8,19.6,,2017,8,171.444
2017,9,18.3,,2017,9,168.664
2017,10,16.7,,2017,10,169.044
2017,11,15.4,,2017,11,170.686
2017,12,15.1,,2017,12,171.652
2018,1,14.2,,2018,1,172.714
2018,2,12.6,,2018,2,0
2018,3,9.9,,2018,3,0
2018,4,7.8,,2018,4,0
2018,5,7.5,,2018,5,0
2018,6,7.2,,2018,6,0
2018,7,7,,2018,7,0
2018,8,6.7,,2018,8,0
2018,9,6.5,,2018,9,0
2018,10,6.8,,2018,10,0
2018,11,6.7,,2018,11,0
2018,12,6,,2018,12,0
2019,1,5.4,,2019,1,0
2019,2,5,,2019,2,0
2019,3,4.6,,2019,3,0
2019,4,4.3,,2019,4,0
2019,5,3.9,,2019,5,141.417
2019,6,3.7,,2019,6,141.629
2019,7,3.5,,2019,7,145.503
2019,8,3.4,,2019,8,145.61
2019,9,3.1,,2019,9,146.5
2019,10,2.6,,2019,10,0
2019,11,2,,2019,11,145.963
2019,12,1.8,,2019,12,143.433
2020,1,2.2,,2020,1,143.128
2020,2,2.7,,2020,2,145.595
2020,3,3,,2020,3,141.333
2020,4,3.6,,2020,4,144.969
2020,5,5.6,,2020,5,146.022
2020,6,7.9,,2020,6,0
2020,7,9,,2020,7,0
2020,8,9.5,,2020,8,0
2020,9,10.5,,2020,9,0
2020,10,11.9,,2020,10,0
2020,11,13.6,,2020,11,0
2020,12,15.3,,2020,12,0
2021,1,17.3,,2021,1,0
2021,2,19,,2021,2,0
2021,3,21.7,,2021,3,0
2021,4,24.8,,2021,4,0
2021,5,25.8,,2021,5,0
2021,6,27.6,,2021,6,0
2021,7,31.4,,2021,7,0
2021,8,35.4,,2021,8,0
2021,9,40.2,,2021,9,0
2021,10,45.2,,2021,11,0
2021,11,50.8,,2021,12,0
2021,12,55.9,,2022,1,0
2022,1,60.1,,2022,2,0
2022,2,-1,,2022,3,0
2022,3,-1,,2022,4,0
2022,4,-1,,2022,5,0
2022,5,-1,,2022,6,0
2022,6,-1,,2022,7,0
2022,7,-1,,,,
