Year,Month,THUL
1957,5,0
1957,6,0
1957,7,0
1957,8,115.531
1957,9,109.968
1957,10,111.29
1957,11,110.786
1957,12,108.294
1958,1,108.595
1958,2,109.7
1958,3,107.229
1958,4,107.347
1958,5,109.166
1958,6,112.033
1958,7,109.665
1958,8,110.729
1958,9,111.307
1958,10,110.441
1958,11,112.818
1958,12,111.386
1959,1,112.173
1959,2,110.821
1959,3,113.081
1959,4,113.747
1959,5,111.272
1959,6,113.602
1959,7,106.421
1959,8,108.057
1959,9,109.789
1959,10,112.77
1959,11,112.619
1959,12,111.941
1960,1,110.539
1960,2,111.889
1960,3,113.638
1960,4,110.39
1960,5,109.245
1960,6,112.361
1960,7,113.323
1960,8,115.201
1960,9,114.235
1960,10,113.978
1960,11,113.829
1960,12,114.65
1961,1,117.279
1961,2,117.831
1961,3,117.199
1961,4,117.398
1961,5,118.592
1961,6,118.819
1961,7,115.165
1961,8,118.804
1961,9,120.348
1961,10,120.274
1961,11,122.768
1961,12,122.128
1962,1,123.333
1962,2,121.349
1962,3,121.462
1962,4,120.581
1962,5,120.823
1962,6,121.382
1962,7,121.205
1962,8,122.271
1962,9,121.866
1962,10,122.605
1962,11,122.339
1962,12,122.186
1963,1,123.531
1963,2,123.591
1963,3,123.697
1963,4,123.486
1963,5,122.196
1963,6,122.211
1963,7,123.03
1963,8,122.852
1963,9,122.757
1963,10,124.635
1963,11,123.97
1963,12,127.013
1964,1,126.841
1964,2,126.221
1964,3,126.874
1964,4,127.772
1964,5,127.966
1964,6,127.898
1964,7,127.929
1964,8,128.268
1964,9,128.46
1964,10,127.917
1964,11,127.853
1964,12,129.961
1965,1,129.845
1965,2,129.234
1965,3,129.691
1965,4,130.559
1965,5,130.647
1965,6,129.528
1965,7,128.945
1965,8,128.765
1965,9,128.479
1965,10,129.1
1965,11,129.885
1965,12,129.839
1966,1,128.782
1966,2,128.725
1966,3,127.329
1966,4,126.384
1966,5,127.499
1966,6,126.064
1966,7,125.78
1966,8,125.245
1966,9,120.048
1966,10,122.253
1966,11,123.266
1966,12,121.65
1967,1,120.273
1967,2,119.547
1967,3,121.04
1967,4,121.545
1967,5,119.669
1967,6,119.963
1967,7,121.552
1967,8,120.513
1967,9,120.096
1967,10,120.427
1967,11,118.877
1967,12,118.449
1968,1,120.376
1968,2,119.809
1968,3,119.761
1968,4,119.396
1968,5,118.1
1968,6,116.424
1968,7,117.295
1968,8,118.053
1968,9,116.457
1968,10,114.386
1968,11,111.313
1968,12,112.918
1969,1,116.733
1969,2,117.517
1969,3,116.707
1969,4,115.843
1969,5,112.334
1969,6,111.348
1969,7,113.274
1969,8,115.419
1969,9,116.266
1969,10,116.119
1969,11,116.14
1969,12,116.079
1970,1,115.839
1970,2,116.703
1970,3,116.507
1970,4,115.419
1970,5,115.577
1970,6,112.937
1970,7,113.511
1970,8,115.891
1970,9,117.23
1970,10,117.384
1970,11,115.525
1970,12,118.839
1971,1,118.256
1971,2,120.105
1971,3,119.617
1971,4,120.418
1971,5,121.678
1971,6,124.734
1971,7,125.727
1971,8,126.094
1971,9,126.424
1971,10,126.908
1971,11,126.772
1971,12,126.715
1972,1,125.919
1972,2,125.837
1972,3,127.11
1972,4,127.425
1972,5,127.234
1972,6,124.955
1972,7,127.65
1972,8,121.938
1972,9,126.938
1972,10,127.183
1972,11,125.992
1972,12,127.093
1973,1,126.952
1973,2,126.687
1973,3,125.791
1973,4,123.029
1973,5,121.695
1973,6,125.347
1973,7,126.32
1973,8,126.739
1973,9,127.738
1973,10,126.869
1973,11,126.744
1973,12,127.458
1974,1,127.517
1974,2,128.061
1974,3,126.767
1974,4,125.695
1974,5,123.357
1974,6,121.867
1974,7,120.739
1974,8,123.273
1974,9,122.279
1974,10,121.17
1974,11,122.03
1974,12,124.016
1975,1,123.853
1975,2,125.317
1975,3,125.529
1975,4,125.927
1975,5,126.692
1975,6,128.254
1975,7,128.473
1975,8,127.255
1975,9,126.208
1975,10,126.084
1975,11,124.89
1975,12,125.899
1976,1,125.555
1976,2,126.091
1976,3,126.25
1976,4,125.186
1976,5,127.207
1976,6,127.942
1976,7,0
1976,8,0
1976,9,0
1976,10,0
1976,11,0
1976,12,0
1977,1,0
1977,2,0
1977,3,0
1977,4,0
1977,5,0
1977,6,0
1977,7,0
1977,8,0
1977,9,0
1977,10,0
1977,11,0
1977,12,0
1978,1,0
1978,2,0
1978,3,0
1978,4,0
1978,5,0
1978,6,0
1978,7,121.988
1978,8,125.326
1978,9,125.404
1978,10,122.751
1978,11,124.217
1978,12,123.443
1979,1,122.188
1979,2,121.357
1979,3,120.144
1979,4,116.625
1979,5,118.771
1979,6,116.357
1979,7,116.412
1979,8,113.819
1979,9,114.804
1979,10,116.602
1979,11,116.49
1979,12,118.729
1980,1,117.624
1980,2,116.942
1980,3,118.279
1980,4,115.993
1980,5,116.455
1980,6,113.617
1980,7,113.464
1980,8,114.214
1980,9,114.491
1980,10,112.092
1980,11,109.922
1980,12,110.199
1981,1,113.554
1981,2,111.735
1981,3,110.924
1981,4,109.716
1981,5,108.49
1981,6,112.27
1981,7,112.872
1981,8,112.922
1981,9,114.331
1981,10,110.48
1981,11,110.757
1981,12,112.892
1982,1,114.916
1982,2,110.679
1982,3,114.356
1982,4,114.915
1982,5,116.504
1982,6,111.283
1982,7,106.522
1982,8,106.83
1982,9,104.26
1982,10,106.595
1982,11,108.043
1982,12,106.53
1983,1,109.8
1983,2,111.938
1983,3,113.023
1983,4,113.183
1983,5,110.25
1983,6,112.92
1983,7,115.379
1983,8,115.378
1983,9,116.416
1983,10,116.557
1983,11,115.554
1983,12,115.191
1984,1,117.002
1984,2,116.471
1984,3,115.245
1984,4,114.03
1984,5,111.891
1984,6,114.283
1984,7,115.165
1984,8,116.593
1984,9,117.399
1984,10,117.405
1984,11,116.794
1984,12,117.556
1985,1,117.882
1985,2,119.858
1985,3,120.246
1985,4,120.971
1985,5,120.587
1985,6,122.327
1985,7,121.854
1985,8,122.13
1985,9,123.387
1985,10,123.496
1985,11,124.37
1985,12,123.834
1986,1,124.307
1986,2,121.138
1986,3,122.929
1986,4,123.849
1986,5,125.014
1986,6,125.579
1986,7,125.737
1986,8,125.791
1986,9,125.796
1986,10,127.297
1986,11,125.389
1986,12,127.435
1987,1,128.403
1987,2,129.002
1987,3,128.955
1987,4,127.936
1987,5,127.615
1987,6,126.196
1987,7,125.469
1987,8,123.931
1987,9,122.494
1987,10,122.915
1987,11,121.482
1987,12,121.674
1988,1,119.289
1988,2,120.178
1988,3,120.536
1988,4,119.706
1988,5,120.424
1988,6,120.381
1988,7,118.574
1988,8,117.781
1988,9,117.944
1988,10,116.889
1988,11,116.575
1988,12,114.345
1989,1,112.704
1989,2,112.621
1989,3,106.683
1989,4,107.779
1989,5,105.842
1989,6,106.443
1989,7,109.462
1989,8,107.765
1989,9,107.269
1989,10,103.816
1989,11,100.88
1989,12,101.91
1990,1,103.306
1990,2,103.877
1990,3,102.666
1990,4,99.591
1990,5,100.85
1990,6,101.799
1990,7,104.82
1990,8,104.055
1990,9,106.058
1990,10,108.019
1990,11,109.454
1990,12,107.319
1991,1,108.998
1991,2,108.837
1991,3,102.04
1991,4,102.233
1991,5,106.505
1991,6,95.356
1991,7,96.272
1991,8,101.811
1991,9,106.664
1991,10,108.129
1991,11,108.397
1991,12,110.374
1992,1,110.377
1992,2,108.864
1992,3,111.206
1992,4,114.395
1992,5,113.863
1992,6,116.686
1992,7,118.479
1992,8,118.321
1992,9,117.524
1992,10,119.237
1992,11,118.717
1992,12,120.678
1993,1,120.184
1993,2,119.957
1993,3,118.542
1993,4,120.09
1993,5,120.839
1993,6,121.931
1993,7,122.461
1993,8,122.529
1993,9,122.858
1993,10,122.794
1993,11,123.248
1993,12,122.805
1994,1,123.221
1994,2,121.454
1994,3,121.108
1994,4,120.545
1994,5,121.678
1994,6,122.603
1994,7,123.582
1994,8,124.384
1994,9,124.796
1994,10,124.058
1994,11,123.819
1994,12,123.52
1995,1,124.034
1995,2,124.47
1995,3,123.859
1995,4,123.885
1995,5,124.738
1995,6,125.136
1995,7,125.154
1995,8,125.271
1995,9,125.387
1995,10,125.025
1995,11,124.996
1995,12,125.038
1996,1,125.269
1996,2,125.18
1996,3,123.563
1996,4,122.967
1996,5,124.296
1996,6,126.064
1996,7,126.191
1996,8,126.141
1996,9,125.65
1996,10,125.009
1996,11,124.994
1996,12,125.012
1997,1,125.298
1997,2,125.34
1997,3,125.424
1997,4,124.405
1997,5,126.095
1997,6,127.152
1997,7,127.282
1997,8,128.091
1997,9,127.646
1997,10,126.676
1997,11,126.106
1997,12,126.591
1998,1,126.46
1998,2,126.715
1998,3,127.181
1998,4,124.327
1998,5,122.462
1998,6,123.496
1998,7,124.795
1998,8,123.015
1998,9,124.528
1998,10,125.294
1998,11,124.652
1998,12,123.389
1999,1,121.801
1999,2,121.303
1999,3,121.673
1999,4,122.397
1999,5,122.051
1999,6,123.754
1999,7,124.023
1999,8,120.852
1999,9,118.489
1999,10,116.777
1999,11,115.859
1999,12,114.764
2000,1,116.395
2000,2,115.107
2000,3,113.509
2000,4,113.67
2000,5,111.668
2000,6,110.113
2000,7,107.902
2000,8,109.396
2000,9,110.178
2000,10,112.333
2000,11,109.768
2000,12,110.59
2001,1,111.524
2001,2,113.408
2001,3,114.941
2001,4,109.261
2001,5,112.296
2001,6,112.657
2001,7,113.039
2001,8,110.991
2001,9,111.375
2001,10,109.536
2001,11,111.359
2001,12,112.681
2002,1,109.669
2002,2,113.285
2002,3,112.094
2002,4,111.89
2002,5,111.701
2002,6,112.349
2002,7,110.571
2002,8,108.292
2002,9,109.988
2002,10,110.661
2002,11,109.006
2002,12,110.098
2003,1,110.899
2003,2,111.063
2003,3,111.356
2003,4,110.781
2003,5,109.945
2003,6,107.694
2003,7,109.627
2003,8,110.416
2003,9,111.55
2003,10,109.776
2003,11,103.805
2003,12,110.761
2004,1,110.453
2004,2,113.855
2004,3,115.805
2004,4,116.449
2004,5,117.646
2004,6,117.749
2004,7,116.104
2004,8,116.758
2004,9,117.612
2004,10,120.047
2004,11,116.516
2004,12,117.012
2005,1,112.594
2005,2,116
2005,3,116.105
2005,4,116.927
2005,5,115.419
2005,6,118.473
2005,7,117.377
2005,8,116.615
2005,9,114.088
2005,10,118.75
2005,11,120.367
2005,12,120.448
2006,1,121.238
2006,2,123.008
2006,3,123.991
2006,4,124.261
2006,5,124.487
2006,6,124.656
2006,7,123.858
2006,8,123.78
2006,9,124.011
2006,10,124.974
2006,11,124.033
2006,12,121.184
2007,1,123.759
2007,2,123.704
2007,3,124.68
2007,4,125.281
2007,5,126.639
2007,6,126.823
2007,7,126.859
2007,8,126.662
2007,9,127.228
2007,10,127.369
2007,11,126.625
2007,12,127.115
2008,1,126.84
2008,2,126.696
2008,3,126.245
2008,4,126.177
2008,5,126.497
2008,6,126.504
2008,7,126.969
2008,8,127.623
2008,9,128.415
2008,10,128.639
2008,11,129.045
2008,12,129.606
2009,1,129.781
2009,2,129.701
2009,3,129.945
2009,4,130.569
2009,5,130.996
2009,6,130.852
2009,7,130.543
2009,8,130.546
2009,9,131.224
2009,10,131.552
2009,11,131.489
2009,12,131.587
2010,1,131.119
2010,2,129.03
2010,3,128.111
2010,4,126.584
2010,5,127.228
2010,6,126.829
2010,7,126.879
2010,8,126.038
2010,9,126.27
2010,10,125.055
2010,11,124.521
2010,12,125.523
2011,1,126.58
2011,2,126.898
2011,3,125.405
2011,4,122.639
2011,5,123.646
2011,6,120.578
2011,7,122.031
2011,8,122.067
2011,9,121.738
2011,10,120.678
2011,11,121.395
2011,12,123.751
2012,1,122.715
2012,2,121.227
2012,3,117.54
2012,4,121.036
2012,5,121.887
2012,6,120.53
2012,7,117.116
2012,8,117.673
2012,9,119.633
2012,10,119.184
2012,11,118.855
2012,12,119.883
2013,1,121.268
2013,2,121.322
2013,3,119.736
2013,4,120.247
2013,5,117.118
2013,6,116.762
2013,7,117.51
2013,8,118.163
2013,9,118.779
2013,10,120.177
2013,11,119.829
2013,12,119.046
2014,1,119.002
2014,2,117.266
2014,3,117.488
2014,4,117.941
2014,5,119.112
2014,6,117.391
2014,7,118.118
2014,8,119.193
2014,9,118.119
2014,10,118.271
2014,11,117.745
2014,12,115.303
2015,1,117.029
2015,2,117.349
2015,3,114.983
2015,4,115.871
2015,5,117.814
2015,6,117.482
2015,7,118.782
2015,8,119.06
2015,9,119.271
2015,10,118.412
2015,11,117.35
2015,12,118.603
2016,1,120.028
2016,2,121.469
2016,3,120.542
2016,4,119.809
2016,5,122.036
2016,6,124.106
2016,7,123.614
2016,8,124.315
2016,9,123.777
2016,10,124.438
2016,11,124.172
2016,12,124.725
2017,1,125.101
2017,2,125.41
2017,3,125.812
2017,4,123.985
2017,5,126.183
2017,6,127.656
2017,7,126.634
2017,8,125.205
2017,9,124.738
2017,10,125.757
2017,11,127.303
2017,12,127.465
2018,1,128.416
2018,2,128.809
2018,3,128.048
2018,4,127.098
2018,5,128.076
2018,6,128.969
2018,7,129.157
2018,8,128.918
2018,9,129.433
2018,10,129.796
2018,11,129.514
2018,12,129.394
2019,1,129.593
2019,2,129.683
2019,3,130.289
2019,4,129.897
2019,5,128.266
2019,6,129.402
2019,7,129.016
2019,8,129.021
2019,9,129.707
2019,10,129.567
2019,11,129.827
2019,12,129.29
2020,1,129.142
2020,2,129.404
2020,3,129.498
2020,4,129.412
2020,5,130.104
2020,6,130.182
2020,7,129.79
2020,8,129.834
2020,9,130.2
2020,10,129.944
2020,11,130.253
2020,12,129.203
2021,1,128.446
2021,2,128.087
2021,3,128.738
2021,4,128.748
2021,5,129.268
2021,6,129.399
2021,7,128.579
2021,8,129.071
2021,9,129.167
2021,10,128.811
2021,11,128.177
2021,12,129.044
2022,1,128.673
2022,2,128.258
2022,3,127.563
2022,4,126.138
2022,5,124.724
2022,6,123.156
2022,7,121.43
